Information listing created by	
bruno


Date	
04-Dec-2021 19:11:18


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\62_quad_fem.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  1                    | 2d_mesh(1)     | 11 16 9 1
  2                    | 2d_mesh(1)     | 2 8 15 12
  3                    | 2d_mesh(1)     | 2 12 11 1
  4                    | 2d_mesh(1)     | 6 13 7 3
  5                    | 2d_mesh(1)     | 4 10 14 5
  6                    | 2d_mesh(1)     | 4 5 6 3
  7                    | 2d_mesh(1)     | 3 7 8 2
  8                    | 2d_mesh(1)     | 1 9 10 4
  9                    | 2d_mesh(1)     | 1 4 3 2
  10                   | 2d_mesh(2)     | 18 23 28 20
  11                   | 2d_mesh(2)     | 18 20 29 24
  12                   | 2d_mesh(2)     | 17 22 23 18
  13                   | 2d_mesh(2)     | 17 18 24 25
  14                   | 2d_mesh(2)     | 19 26 31 27
  15                   | 2d_mesh(2)     | 19 27 30 21
  16                   | 2d_mesh(2)     | 17 25 26 19
  17                   | 2d_mesh(2)     | 17 19 21 22
  18                   | 2d_mesh(3)     | 28 88 38 41
  19                   | 2d_mesh(3)     | 38 39 40 41
  20                   | 2d_mesh(3)     | 28 41 40 20
  21                   | 2d_mesh(3)     | 38 88 89 42
  22                   | 2d_mesh(3)     | 39 38 42 43
  23                   | 2d_mesh(3)     | 46 42 89 90
  24                   | 2d_mesh(3)     | 46 90 91 45
  25                   | 2d_mesh(3)     | 92 95 70 44
  26                   | 2d_mesh(3)     | 92 44 45 91
  27                   | 2d_mesh(3)     | 44 70 71 35
  28                   | 2d_mesh(3)     | 44 35 36 45
  29                   | 2d_mesh(3)     | 48 46 45 36
  30                   | 2d_mesh(3)     | 48 36 37 47
  31                   | 2d_mesh(3)     | 43 42 46 48
  32                   | 2d_mesh(3)     | 47 37 86 87
  33                   | 2d_mesh(3)     | 47 87 43 48
  34                   | 2d_mesh(3)     | 51 72 73 32
  35                   | 2d_mesh(3)     | 50 51 32 33
  36                   | 2d_mesh(3)     | 34 81 82 49
  37                   | 2d_mesh(3)     | 34 49 50 33
  38                   | 2d_mesh(3)     | 53 49 82 83
  39                   | 2d_mesh(3)     | 84 96 85 52
  40                   | 2d_mesh(3)     | 84 52 53 83
  41                   | 2d_mesh(3)     | 52 85 86 37
  42                   | 2d_mesh(3)     | 54 55 53 52
  43                   | 2d_mesh(3)     | 54 52 37 36
  44                   | 2d_mesh(3)     | 50 49 53 55
  45                   | 2d_mesh(3)     | 35 71 72 51
  46                   | 2d_mesh(3)     | 51 50 55 54
  47                   | 2d_mesh(3)     | 51 54 36 35
  48                   | 2d_mesh(3)     | 60 12 15 78
  49                   | 2d_mesh(3)     | 56 57 59 61
  50                   | 2d_mesh(3)     | 59 60 78 61
  51                   | 2d_mesh(3)     | 56 61 78 79
  52                   | 2d_mesh(3)     | 11 12 60 62
  53                   | 2d_mesh(3)     | 63 64 69 16
  54                   | 2d_mesh(3)     | 63 16 11 62
  55                   | 2d_mesh(3)     | 65 62 60 59
  56                   | 2d_mesh(3)     | 65 59 57 58
  57                   | 2d_mesh(3)     | 77 94 69 64
  58                   | 2d_mesh(3)     | 65 58 75 76
  59                   | 2d_mesh(3)     | 67 32 73 74
  60                   | 2d_mesh(3)     | 67 74 75 58
  61                   | 2d_mesh(3)     | 66 33 32 67
  62                   | 2d_mesh(3)     | 66 67 58 57
  63                   | 2d_mesh(3)     | 68 80 81 34
  64                   | 2d_mesh(3)     | 68 34 33 66
  65                   | 2d_mesh(3)     | 56 79 80 68
  66                   | 2d_mesh(3)     | 56 68 66 57
  67                   | 2d_mesh(3)     | 93 29 20 40
  68                   | 2d_mesh(3)     | 97 93 40 39
  69                   | 2d_mesh(3)     | 87 97 39 43
  70                   | 2d_mesh(3)     | 64 63 62 65
  71                   | 2d_mesh(3)     | 65 76 77 64
  72                   | 2d_mesh(4)     | 98 105 109 107
  73                   | 2d_mesh(4)     | 106 15 8 99
  74                   | 2d_mesh(4)     | 98 107 106 99
  75                   | 2d_mesh(4)     | 100 7 13 102
  76                   | 2d_mesh(4)     | 103 108 104 101
  77                   | 2d_mesh(4)     | 100 102 103 101
  78                   | 2d_mesh(4)     | 99 8 7 100
  79                   | 2d_mesh(4)     | 101 104 105 98
  80                   | 2d_mesh(4)     | 99 100 101 98
  81                   | 2d_mesh(5)     | 119 116 163 169
  82                   | 2d_mesh(5)     | 119 118 117 116
  83                   | 2d_mesh(5)     | 165 118 119 169
  84                   | 2d_mesh(5)     | 120 162 163 116
  85                   | 2d_mesh(5)     | 121 120 116 117
  86                   | 2d_mesh(5)     | 161 162 120 124
  87                   | 2d_mesh(5)     | 123 160 161 124
  88                   | 2d_mesh(5)     | 122 155 167 159
  89                   | 2d_mesh(5)     | 160 123 122 159
  90                   | 2d_mesh(5)     | 113 154 155 122
