Information listing created by	
bruno


Date	
04-Dec-2021 18:43:48


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\62_new_fem.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  1                    | 2d_mesh(1)     | 1 4 5
  2                    | 2d_mesh(1)     | 1 5 2
  3                    | 2d_mesh(1)     | 2 5 3
  4                    | 2d_mesh(1)     | 5 6 3
  5                    | 2d_mesh(1)     | 19 16 11
  6                    | 2d_mesh(1)     | 16 1 11
  7                    | 2d_mesh(1)     | 16 15 1
  8                    | 2d_mesh(1)     | 15 4 1
  9                    | 2d_mesh(1)     | 15 20 4
  10                   | 2d_mesh(1)     | 20 12 4
  11                   | 2d_mesh(1)     | 4 12 13
  12                   | 2d_mesh(1)     | 4 13 5
  13                   | 2d_mesh(1)     | 5 13 6
  14                   | 2d_mesh(1)     | 13 14 6
  15                   | 2d_mesh(1)     | 6 14 18
  16                   | 2d_mesh(1)     | 6 18 7
  17                   | 2d_mesh(1)     | 3 6 7
  18                   | 2d_mesh(1)     | 3 7 8
  19                   | 2d_mesh(1)     | 9 3 8
  20                   | 2d_mesh(1)     | 9 8 17
  21                   | 2d_mesh(1)     | 10 2 9
  22                   | 2d_mesh(1)     | 2 3 9
  23                   | 2d_mesh(1)     | 11 1 2
  24                   | 2d_mesh(1)     | 11 2 10
  25                   | 2d_mesh(2)     | 34 25 21
  26                   | 2d_mesh(2)     | 34 21 31
  27                   | 2d_mesh(2)     | 25 26 22
  28                   | 2d_mesh(2)     | 25 22 21
  29                   | 2d_mesh(2)     | 26 27 23
  30                   | 2d_mesh(2)     | 26 23 22
  31                   | 2d_mesh(2)     | 27 32 24
  32                   | 2d_mesh(2)     | 27 24 23
  33                   | 2d_mesh(2)     | 23 24 33
  34                   | 2d_mesh(2)     | 23 33 28
  35                   | 2d_mesh(2)     | 22 23 28
  36                   | 2d_mesh(2)     | 22 28 29
  37                   | 2d_mesh(2)     | 21 22 29
  38                   | 2d_mesh(2)     | 21 29 30
  39                   | 2d_mesh(2)     | 31 21 30
  40                   | 2d_mesh(2)     | 31 30 35
  41                   | 2d_mesh(3)     | 38 15 16
  42                   | 2d_mesh(3)     | 72 39 71
  43                   | 2d_mesh(3)     | 73 65 40
  44                   | 2d_mesh(3)     | 73 90 65
  45                   | 2d_mesh(3)     | 40 20 15
  46                   | 2d_mesh(3)     | 40 65 20
  47                   | 2d_mesh(3)     | 38 40 15
  48                   | 2d_mesh(3)     | 39 40 38
  49                   | 2d_mesh(3)     | 40 72 73
  50                   | 2d_mesh(3)     | 40 39 72
  51                   | 2d_mesh(3)     | 75 43 74
  52                   | 2d_mesh(3)     | 70 37 69
  53                   | 2d_mesh(3)     | 41 37 70
  54                   | 2d_mesh(3)     | 43 36 42
  55                   | 2d_mesh(3)     | 43 75 36
  56                   | 2d_mesh(3)     | 41 36 37
  57                   | 2d_mesh(3)     | 41 42 36
  58                   | 2d_mesh(3)     | 71 41 70
  59                   | 2d_mesh(3)     | 41 39 42
  60                   | 2d_mesh(3)     | 41 71 39
  61                   | 2d_mesh(3)     | 42 38 43
  62                   | 2d_mesh(3)     | 42 39 38
  63                   | 2d_mesh(3)     | 74 16 19
  64                   | 2d_mesh(3)     | 16 43 38
  65                   | 2d_mesh(3)     | 16 74 43
  66                   | 2d_mesh(3)     | 68 48 67
  67                   | 2d_mesh(3)     | 44 69 37
  68                   | 2d_mesh(3)     | 48 44 45
  69                   | 2d_mesh(3)     | 44 68 69
  70                   | 2d_mesh(3)     | 44 48 68
  71                   | 2d_mesh(3)     | 49 84 85
  72                   | 2d_mesh(3)     | 89 24 50
  73                   | 2d_mesh(3)     | 89 33 24
  74                   | 2d_mesh(3)     | 24 32 51
  75                   | 2d_mesh(3)     | 84 51 32
  76                   | 2d_mesh(3)     | 49 51 84
  77                   | 2d_mesh(3)     | 51 50 24
  78                   | 2d_mesh(3)     | 51 49 50
  79                   | 2d_mesh(3)     | 93 50 53
  80                   | 2d_mesh(3)     | 93 89 50
  81                   | 2d_mesh(3)     | 85 52 49
  82                   | 2d_mesh(3)     | 85 86 52
  83                   | 2d_mesh(3)     | 49 53 50
  84                   | 2d_mesh(3)     | 49 52 53
  85                   | 2d_mesh(3)     | 54 53 52
  86                   | 2d_mesh(3)     | 53 83 93
  87                   | 2d_mesh(3)     | 54 83 53
  88                   | 2d_mesh(3)     | 82 54 47
  89                   | 2d_mesh(3)     | 82 83 54
  90                   | 2d_mesh(3)     | 55 87 88
  91                   | 2d_mesh(3)     | 52 56 54
  92                   | 2d_mesh(3)     | 52 86 56
  93                   | 2d_mesh(3)     | 55 86 87
  94                   | 2d_mesh(3)     | 55 56 86
  95                   | 2d_mesh(3)     | 57 54 56
  96                   | 2d_mesh(3)     | 47 57 46
  97                   | 2d_mesh(3)     | 47 54 57
  98                   | 2d_mesh(3)     | 67 58 66
  99                   | 2d_mesh(3)     | 67 48 58
  100                  | 2d_mesh(3)     | 48 59 58
  101                  | 2d_mesh(3)     | 59 56 58
  102                  | 2d_mesh(3)     | 59 46 57
  103                  | 2d_mesh(3)     | 45 59 48
  104                  | 2d_mesh(3)     | 45 46 59
