Information listing created by	
bruno


Date	
05-Dec-2021 19:02:54


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\trig6\tirg_6_fem1.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  1                    | 2d_mesh(1)     | 1 16 9 2 10 3
  2                    | 2d_mesh(1)     | 17 1 12 4 5 13
  3                    | 2d_mesh(1)     | 17 16 1 8 2 4
  4                    | 2d_mesh(1)     | 18 1 9 6 3 11
  5                    | 2d_mesh(1)     | 1 19 12 7 14 5
  6                    | 2d_mesh(1)     | 1 18 19 6 15 7
  7                    | 2d_mesh(2)     | 33 27 34 20 28 30
  8                    | 2d_mesh(2)     | 33 24 27 25 21 20
  9                    | 2d_mesh(2)     | 32 24 31 22 26 23
  10                   | 2d_mesh(2)     | 32 27 24 29 21 22
  11                   | 2d_mesh(3)     | 36 83 88 40 84 41
  12                   | 2d_mesh(3)     | 31 90 32 42 86 23
  13                   | 2d_mesh(3)     | 31 83 90 85 43 42
  14                   | 2d_mesh(3)     | 90 36 80 44 45 81
  15                   | 2d_mesh(3)     | 90 83 36 43 40 44
  16                   | 2d_mesh(3)     | 68 69 35 71 46 47
  17                   | 2d_mesh(3)     | 89 37 76 48 49 77
  18                   | 2d_mesh(3)     | 37 80 36 50 45 51
  19                   | 2d_mesh(3)     | 37 89 80 48 82 50
  20                   | 2d_mesh(3)     | 37 35 76 52 53 49
  21                   | 2d_mesh(3)     | 37 68 35 54 47 52
  22                   | 2d_mesh(3)     | 68 36 88 55 41 72
  23                   | 2d_mesh(3)     | 68 37 36 54 51 55
  24                   | 2d_mesh(3)     | 38 18 75 56 78 57
  25                   | 2d_mesh(3)     | 18 39 19 58 59 15
  26                   | 2d_mesh(3)     | 18 38 39 56 60 58
  27                   | 2d_mesh(3)     | 38 70 39 61 62 60
  28                   | 2d_mesh(3)     | 19 39 87 59 63 67
  29                   | 2d_mesh(3)     | 70 87 39 73 63 62
  30                   | 2d_mesh(3)     | 38 69 70 64 74 61
  31                   | 2d_mesh(3)     | 35 75 76 65 79 53
  32                   | 2d_mesh(3)     | 38 35 69 66 46 64
  33                   | 2d_mesh(3)     | 38 75 35 57 65 66
  34                   | 2d_mesh(4)     | 9 16 91 10 92 93
  35                   | 2d_mesh(4)     | 100 91 103 95 94 99
  36                   | 2d_mesh(4)     | 91 16 103 92 98 94
  37                   | 2d_mesh(4)     | 9 91 18 93 96 11
  38                   | 2d_mesh(4)     | 100 104 91 101 97 95
  39                   | 2d_mesh(4)     | 104 18 91 102 96 97
  40                   | 2d_mesh(5)     | 154 149 106 148 110 111
  41                   | 2d_mesh(5)     | 157 155 156 151 112 152
  42                   | 2d_mesh(5)     | 155 149 156 113 150 112
  43                   | 2d_mesh(5)     | 146 106 155 115 114 145
  44                   | 2d_mesh(5)     | 106 149 155 110 113 114
  45                   | 2d_mesh(5)     | 105 141 143 116 142 117
  46                   | 2d_mesh(5)     | 76 107 89 119 118 77
  47                   | 2d_mesh(5)     | 106 146 107 115 120 121
  48                   | 2d_mesh(5)     | 146 89 107 147 118 120
  49                   | 2d_mesh(5)     | 76 105 107 123 122 119
  50                   | 2d_mesh(5)     | 105 143 107 117 124 122
  51                   | 2d_mesh(5)     | 154 106 143 111 125 144
  52                   | 2d_mesh(5)     | 106 107 143 121 124 125
  53                   | 2d_mesh(5)     | 75 18 108 78 126 127
  54                   | 2d_mesh(5)     | 104 109 18 129 128 102
  55                   | 2d_mesh(5)     | 109 108 18 130 126 128
  56                   | 2d_mesh(5)     | 109 139 108 132 131 130
  57                   | 2d_mesh(5)     | 153 109 104 133 129 137
  58                   | 2d_mesh(5)     | 109 153 139 133 138 132
  59                   | 2d_mesh(5)     | 139 141 108 140 134 131
  60                   | 2d_mesh(5)     | 76 75 105 79 135 123
  61                   | 2d_mesh(5)     | 141 105 108 116 136 134
  62                   | 2d_mesh(5)     | 105 75 108 135 127 136
  63                   | 2d_mesh(6)     | 169 162 168 158 163 167
  64                   | 2d_mesh(6)     | 169 165 162 164 159 158
  65                   | 2d_mesh(6)     | 156 165 157 160 166 152
  66                   | 2d_mesh(6)     | 156 162 165 161 159 160
 
------------------------------------------------------------
 
