Information listing created by	
bruno


Date	
06-Dec-2021 11:11:54


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\QUAD8\QUAD8_fem.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  1                    | 2d_mesh(1)     | 1 12 19 6 2 13 7 3
  2                    | 2d_mesh(1)     | 1 6 18 9 3 8 10 4
  3                    | 2d_mesh(1)     | 15 21 12 1 16 14 2 5
  4                    | 2d_mesh(1)     | 15 1 9 20 5 4 11 17
  5                    | 2d_mesh(2)     | 27 34 33 24 28 30 25 22
  6                    | 2d_mesh(2)     | 27 24 31 32 22 26 23 29
  7                    | 2d_mesh(3)     | 109 32 31 37 105 23 45 46
  8                    | 2d_mesh(3)     | 31 100 36 37 102 47 48 45
  9                    | 2d_mesh(3)     | 109 37 36 96 46 48 49 97
  10                   | 2d_mesh(3)     | 35 87 88 38 50 89 51 52
  11                   | 2d_mesh(3)     | 40 101 107 75 53 103 79 54
  12                   | 2d_mesh(3)     | 76 35 38 39 55 52 56 57
  13                   | 2d_mesh(3)     | 76 39 40 75 57 58 54 80
  14                   | 2d_mesh(3)     | 36 100 101 40 47 104 53 59
  15                   | 2d_mesh(3)     | 38 88 108 95 51 90 98 60
  16                   | 2d_mesh(3)     | 96 36 40 39 49 59 58 61
  17                   | 2d_mesh(3)     | 96 39 38 95 61 56 60 99
  18                   | 2d_mesh(3)     | 35 76 77 41 55 81 62 63
  19                   | 2d_mesh(3)     | 43 15 20 84 64 17 91 65
  20                   | 2d_mesh(3)     | 42 41 77 78 66 62 82 67
  21                   | 2d_mesh(3)     | 41 86 87 35 68 92 50 63
  22                   | 2d_mesh(3)     | 42 85 86 41 69 93 68 66
  23                   | 2d_mesh(3)     | 84 85 42 43 94 69 70 65
  24                   | 2d_mesh(3)     | 78 106 21 44 83 74 71 72
  25                   | 2d_mesh(3)     | 21 15 43 44 16 64 73 71
  26                   | 2d_mesh(3)     | 43 42 78 44 70 67 72 73
  27                   | 2d_mesh(4)     | 116 124 119 110 117 118 111 112
  28                   | 2d_mesh(4)     | 9 18 116 110 10 115 112 113
  29                   | 2d_mesh(4)     | 110 119 125 122 111 120 123 114
  30                   | 2d_mesh(4)     | 20 9 110 122 11 113 114 121
  31                   | 2d_mesh(5)     | 128 190 191 189 136 186 185 137
  32                   | 2d_mesh(5)     | 128 127 183 190 139 138 184 136
  33                   | 2d_mesh(5)     | 176 127 128 189 140 139 137 175
  34                   | 2d_mesh(5)     | 129 88 87 126 142 89 141 143
  35                   | 2d_mesh(5)     | 173 188 181 131 174 180 144 145
  36                   | 2d_mesh(5)     | 130 129 126 171 147 143 146 148
  37                   | 2d_mesh(5)     | 173 131 130 171 145 149 148 172
  38                   | 2d_mesh(5)     | 131 181 183 127 144 182 138 150
  39                   | 2d_mesh(5)     | 178 108 88 129 179 90 142 151
  40                   | 2d_mesh(5)     | 130 131 127 176 149 150 140 152
  41                   | 2d_mesh(5)     | 178 129 130 176 151 147 152 177
  42                   | 2d_mesh(5)     | 132 169 171 126 153 170 146 154
  43                   | 2d_mesh(5)     | 84 20 122 134 91 121 155 156
  44                   | 2d_mesh(5)     | 167 169 132 133 168 153 157 158
  45                   | 2d_mesh(5)     | 126 87 86 132 141 92 159 154
  46                   | 2d_mesh(5)     | 132 86 85 133 159 93 160 157
  47                   | 2d_mesh(5)     | 134 133 85 84 161 160 94 156
  48                   | 2d_mesh(5)     | 135 125 187 167 162 165 166 163
  49                   | 2d_mesh(5)     | 135 134 122 125 164 155 123 162
  50                   | 2d_mesh(5)     | 135 167 133 134 163 158 161 164
  51                   | 2d_mesh(6)     | 194 200 201 197 195 199 196 192
  52                   | 2d_mesh(6)     | 194 197 191 190 192 198 186 193
 
------------------------------------------------------------
 
