"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"Elbow 90°","GPU","1 044 857","346 621","8.49s","16ms","7.58s","8109","27 MB","2.22 GB","✓","Jan 7, 08:00 PM"
"Elbow 90°","GPU","1 044 857","346 621","8.40s","16ms","7.49s","8111","27 MB","2.22 GB","✓","Jan 7, 08:00 PM"
"Elbow 90°","GPU","1 044 857","346 621","8.51s","16ms","7.60s","8110","27 MB","2.22 GB","✓","Jan 7, 08:00 PM"
"Elbow 90°","GPU","623 153","206 435","4.32s","<0.01s","3.74s","6228","16 MB","548 MB","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","623 153","206 435","4.35s","<0.01s","3.77s","6226","16 MB","837 MB","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","623 153","206 435","4.30s","<0.01s","3.72s","6228","16 MB","548 MB","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","161 984","53 344","1.09s","<0.01s","901ms","3132","4 MB","133 MB","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","161 984","53 344","1.09s","<0.01s","902ms","3132","4 MB","133 MB","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","161 984","53 344","1.10s","<0.01s","910ms","3132","4 MB","133 MB","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","411","111","51ms","<0.01s","34ms","141","0 MB","-","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","411","111","50ms","<0.01s","34ms","141","0 MB","-","✓","Jan 7, 07:59 PM"
"Elbow 90°","GPU","411","111","58ms","<0.01s","40ms","141","0 MB","-","✓","Jan 7, 07:59 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","13.13s","19ms","12.19s","10 851","33 MB","1.92 GB","✓","Jan 7, 07:59 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","13.10s","19ms","12.17s","10 848","33 MB","1.92 GB","✓","Jan 7, 07:59 PM"
