"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"Elbow 90°","GPU","1 044 857","346 621","9.26s","17ms","8.25s","8113","27 MB","2.23 GB","✓","Jan 15, 04:39 PM"
"Elbow 90°","GPU","1 044 857","346 621","9.24s","17ms","8.24s","8110","27 MB","2.22 GB","✓","Jan 15, 04:39 PM"
"Elbow 90°","GPU","1 044 857","346 621","9.12s","17ms","8.12s","8110","27 MB","2.23 GB","✓","Jan 15, 04:39 PM"
"Elbow 90°","GPU","623 153","206 435","4.73s","10ms","4.06s","6228","16 MB","548 MB","✓","Jan 15, 04:39 PM"
"Elbow 90°","GPU","623 153","206 435","4.71s","10ms","4.05s","6226","16 MB","549 MB","✓","Jan 15, 04:39 PM"
"Elbow 90°","GPU","623 153","206 435","4.71s","10ms","4.05s","6226","16 MB","549 MB","✓","Jan 15, 04:39 PM"
"Elbow 90°","GPU","161 984","53 344","1.30s","<0.01s","1.07s","3132","4 MB","376 MB","✓","Jan 15, 04:38 PM"
"Elbow 90°","GPU","161 984","53 344","1.31s","<0.01s","1.08s","3132","4 MB","376 MB","✓","Jan 15, 04:38 PM"
"Elbow 90°","GPU","161 984","53 344","1.30s","<0.01s","1.07s","3132","4 MB","376 MB","✓","Jan 15, 04:38 PM"
"Elbow 90°","GPU","411","111","66ms","<0.01s","45ms","141","0 MB","-","✓","Jan 15, 04:38 PM"
"Elbow 90°","GPU","411","111","65ms","<0.01s","44ms","141","-","-","✓","Jan 15, 04:38 PM"
"Elbow 90°","GPU","411","111","66ms","<0.01s","44ms","141","0 MB","-","✓","Jan 15, 04:38 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","14.28s","21ms","13.27s","10 845","33 MB","1.92 GB","✓","Jan 15, 04:38 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","14.33s","21ms","13.32s","10 847","33 MB","1.92 GB","✓","Jan 15, 04:38 PM"
"Backward-Facing Step","GPU","1 283 215","426 686","14.32s","21ms","13.31s","10 848","33 MB","1.92 GB","✓","Jan 15, 04:38 PM"
"Backward-Facing Step","GPU","766 088","254 551","6.78s","12ms","6.13s","8104","19 MB","1.15 GB","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","766 088","254 551","6.79s","12ms","6.14s","8098","19 MB","1.15 GB","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","766 088","254 551","6.79s","13ms","6.14s","8100","19 MB","1.15 GB","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","195 362","64 713","1.65s","<0.01s","1.45s","3990","5 MB","160 MB","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","195 362","64 713","1.64s","<0.01s","1.44s","3991","5 MB","161 MB","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","195 362","64 713","1.65s","<0.01s","1.44s","3991","5 MB","161 MB","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","287","82","60ms","<0.01s","42ms","137","0 MB","-","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","287","82","59ms","<0.01s","42ms","137","0 MB","-","✓","Jan 15, 04:37 PM"
"Backward-Facing Step","GPU","287","82","59ms","<0.01s","42ms","137","0 MB","-","✓","Jan 15, 04:37 PM"
"T-Junction","GPU","1 291 289","429 176","15.14s","21ms","14.04s","11 221","33 MB","1.93 GB","✓","Jan 15, 04:37 PM"
"T-Junction","GPU","1 291 289","429 176","15.12s","21ms","14.01s","11 227","33 MB","1.93 GB","✓","Jan 15, 04:37 PM"
"T-Junction","GPU","1 291 289","429 176","15.16s","21ms","14.06s","11 217","33 MB","1.93 GB","✓","Jan 15, 04:37 PM"
"T-Junction","GPU","768 898","255 333","7.24s","13ms","6.53s","8634","20 MB","1.16 GB","✓","Jan 15, 04:36 PM"
"T-Junction","GPU","768 898","255 333","7.23s","13ms","6.53s","8638","20 MB","1.16 GB","✓","Jan 15, 04:36 PM"
"T-Junction","GPU","768 898","255 333","7.24s","12ms","6.52s","8631","20 MB","1.16 GB","✓","Jan 15, 04:36 PM"
"T-Junction","GPU","196 420","64 987","1.79s","<0.01s","1.55s","4319","5 MB","331 MB","✓","Jan 15, 04:35 PM"
"T-Junction","GPU","196 420","64 987","1.78s","<0.01s","1.54s","4319","5 MB","331 MB","✓","Jan 15, 04:35 PM"
"T-Junction","GPU","196 420","64 987","1.78s","<0.01s","1.55s","4319","5 MB","331 MB","✓","Jan 15, 04:35 PM"
"T-Junction","GPU","393","102","73ms","<0.01s","51ms","167","0 MB","-","✓","Jan 15, 04:35 PM"
"T-Junction","GPU","393","102","74ms","<0.01s","52ms","167","0 MB","-","✓","Jan 15, 04:35 PM"
"T-Junction","GPU","393","102","79ms","<0.01s","52ms","167","0 MB","-","✓","Jan 15, 04:35 PM"
"S-Bend","GPU","1 286 039","427 244","17.15s","21ms","16.04s","12 726","33 MB","2.74 GB","✓","Jan 15, 04:35 PM"
"S-Bend","GPU","1 286 039","427 244","17.16s","21ms","16.05s","12 732","33 MB","2.74 GB","✓","Jan 15, 04:35 PM"
"S-Bend","GPU","1 286 039","427 244","17.17s","21ms","16.06s","12 731","33 MB","2.74 GB","✓","Jan 15, 04:35 PM"
"S-Bend","GPU","765 441","254 034","7.93s","13ms","7.23s","9485","19 MB","1.63 GB","✓","Jan 15, 04:34 PM"
"S-Bend","GPU","765 441","254 034","7.92s","13ms","7.21s","9481","19 MB","1.63 GB","✓","Jan 15, 04:34 PM"
"S-Bend","GPU","765 441","254 034","8.05s","12ms","7.21s","9481","19 MB","1.63 GB","✓","Jan 15, 04:34 PM"
"S-Bend","GPU","196 078","64 787","1.92s","<0.01s","1.68s","4651","5 MB","161 MB","✓","Jan 15, 04:33 PM"
"S-Bend","GPU","196 078","64 787","1.92s","<0.01s","1.68s","4653","5 MB","160 MB","✓","Jan 15, 04:33 PM"
"S-Bend","GPU","196 078","64 787","1.90s","<0.01s","1.67s","4650","5 MB","162 MB","✓","Jan 15, 04:33 PM"
