Model,Solver,Nodes,Elements,Total Time,Assembly,Solve,Iterations,Peak RAM,Peak VRAM,Status,Date
T-Junction,CPU,768898,255333,15m 31.0s,1m 14.6s,13m 56.2s,64265,1.18 GB,-,✓,"Jan 21, 07:45 PM"
T-Junction,CPU,768898,255333,18m 32.5s,1m 15.5s,16m 56.7s,64265,1.18 GB,-,✓,"Jan 21, 07:45 PM"
T-Junction,CPU,768898,255333,18m 29.6s,1m 16.5s,16m 53.0s,64265,1.19 GB,-,✓,"Jan 21, 07:45 PM"
Elbow 90°,Multiprocess,1044857,346621,4m 32.3s,9.46s,465ms,0,1.59 GB,-,✓,"Jan 19, 11:22 PM"
Elbow 90°,Multiprocess,1044857,346621,4m 23.6s,9.49s,453ms,0,1.60 GB,-,✓,"Jan 19, 11:22 PM"
Elbow 90°,Multiprocess,1044857,346621,4m 34.3s,9.49s,493ms,0,1.60 GB,-,✓,"Jan 19, 11:22 PM"
Elbow 90°,Multiprocess,623153,206435,2m 14.5s,6.95s,196ms,0,768 MB,-,✓,"Jan 19, 11:04 PM"
Elbow 90°,Multiprocess,623153,206435,2m 8.2s,6.95s,188ms,0,798 MB,-,✓,"Jan 19, 11:04 PM"
Elbow 90°,Multiprocess,623153,206435,2m 9.5s,6.93s,194ms,0,805 MB,-,✓,"Jan 19, 11:04 PM"
Elbow 90°,Multiprocess,161984,53344,24.89s,4.29s,44ms,0,99 MB,-,✓,"Jan 19, 10:56 PM"
Elbow 90°,Multiprocess,161984,53344,25.50s,4.23s,44ms,0,100 MB,-,✓,"Jan 19, 10:56 PM"
Elbow 90°,Multiprocess,161984,53344,25.43s,4.24s,44ms,0,99 MB,-,✓,"Jan 19, 10:56 PM"
Elbow 90°,Multiprocess,411,111,1.76s,883ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:54 PM"
Elbow 90°,Multiprocess,411,111,1.77s,885ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:54 PM"
Elbow 90°,Multiprocess,411,111,1.76s,879ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:54 PM"
Backward-Facing Step,Multiprocess,1283215,426686,2m 39.1s,10.81s,588ms,0,2.04 GB,-,✓,"Jan 19, 10:54 PM"
Backward-Facing Step,Multiprocess,1283215,426686,2m 35.3s,10.82s,586ms,0,1.90 GB,-,✓,"Jan 19, 10:54 PM"
Backward-Facing Step,Multiprocess,1283215,426686,2m 40.9s,10.84s,590ms,0,2.12 GB,-,✓,"Jan 19, 10:54 PM"
Backward-Facing Step,Multiprocess,766088,254551,1m 20.6s,7.80s,244ms,0,1.14 GB,-,✓,"Jan 19, 10:43 PM"
Backward-Facing Step,Multiprocess,766088,254551,1m 17.3s,7.91s,243ms,0,1.13 GB,-,✓,"Jan 19, 10:43 PM"
Backward-Facing Step,Multiprocess,766088,254551,1m 18.0s,7.81s,243ms,0,1.13 GB,-,✓,"Jan 19, 10:43 PM"
Backward-Facing Step,Multiprocess,195362,64713,17.80s,4.50s,54ms,0,121 MB,-,✓,"Jan 19, 10:38 PM"
Backward-Facing Step,Multiprocess,195362,64713,17.12s,4.41s,53ms,0,121 MB,-,✓,"Jan 19, 10:38 PM"
Backward-Facing Step,Multiprocess,195362,64713,17.31s,4.48s,52ms,0,120 MB,-,✓,"Jan 19, 10:38 PM"
Backward-Facing Step,Multiprocess,287,82,1.58s,614ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:37 PM"
Backward-Facing Step,Multiprocess,287,82,1.56s,614ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:37 PM"
Backward-Facing Step,Multiprocess,287,82,1.57s,623ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:37 PM"
T-Junction,Multiprocess,1291289,429176,1m 54.4s,11.12s,618ms,0,1.94 GB,-,✓,"Jan 19, 10:37 PM"
T-Junction,Multiprocess,1291289,429176,1m 50.7s,11.07s,568ms,0,2.10 GB,-,✓,"Jan 19, 10:37 PM"
T-Junction,Multiprocess,1291289,429176,1m 55.6s,11.74s,643ms,0,1.95 GB,-,✓,"Jan 19, 10:37 PM"
T-Junction,Multiprocess,768898,255333,58.09s,8.21s,257ms,0,1.08 GB,-,✓,"Jan 19, 10:29 PM"
T-Junction,Multiprocess,768898,255333,58.29s,8.20s,263ms,0,1.16 GB,-,✓,"Jan 19, 10:29 PM"
T-Junction,Multiprocess,768898,255333,57.41s,8.24s,288ms,0,1.18 GB,-,✓,"Jan 19, 10:29 PM"
T-Junction,Multiprocess,196420,64987,14.97s,4.63s,53ms,0,130 MB,-,✓,"Jan 19, 10:25 PM"
T-Junction,Multiprocess,196420,64987,14.74s,4.51s,54ms,0,131 MB,-,✓,"Jan 19, 10:25 PM"
T-Junction,Multiprocess,196420,64987,15.19s,4.73s,62ms,0,134 MB,-,✓,"Jan 19, 10:25 PM"
T-Junction,Multiprocess,393,102,1.83s,914ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:24 PM"
T-Junction,Multiprocess,393,102,1.88s,985ms,<0.01s,0,0 MB,-,✓,"Jan 19, 10:24 PM"
